Mode: Bandwidth,Shape,Preload Clear | cycles,Embedding dataloader | cycles,Embedding decoder | cycles,Embedding calculation | cycles,Dense SpMM dataloader | cycles,Dense SpMM decoder | cycles,Input | cycles,Weight | cycles,Dense SDMM PE calculation | cycles,Dense SpMM PE calculation | cycles,Total linear preprocessing cycles,Total linear preloading cycles,Total linear computation cycles,Total linear clear cycles,Total linear cycles,Total preloading cycles,Total Computation cycles,Total cycles
8000,"(12, 3, 197, 64)",19,3292,0,170373,347,594,345,2,36,2,100,594,3292,170373,19,170967,349,136,730
8100,"(12, 3, 197, 64)",19,3317,0,170373,347,594,345,2,36,2,100,594,3317,170373,19,170967,349,136,730
8200,"(12, 3, 197, 64)",18,3190,0,170373,350,594,348,2,36,2,100,594,3190,170373,18,170967,352,136,730
8300,"(12, 3, 197, 64)",18,3197,0,170373,353,594,351,2,36,2,100,594,3197,170373,18,170967,355,136,730
8400,"(12, 3, 197, 64)",18,3215,0,170373,353,594,351,2,36,2,100,594,3215,170373,18,170967,355,136,730
8500,"(12, 3, 197, 64)",18,3286,0,170373,304,594,302,2,36,2,100,594,3286,170373,18,170967,306,136,730
8600,"(12, 3, 197, 64)",18,3400,0,170373,304,594,302,2,36,2,100,594,3400,170373,18,170967,306,136,730
8700,"(12, 3, 197, 64)",18,3422,0,170373,306,594,304,2,36,2,100,594,3422,170373,18,170967,308,136,730
8800,"(12, 3, 197, 64)",17,3272,0,170373,308,594,306,2,36,2,100,594,3272,170373,17,170967,310,136,730
8900,"(12, 3, 197, 64)",17,3292,0,170373,308,594,306,2,36,2,100,594,3292,170373,17,170967,310,136,730
9000,"(12, 3, 197, 64)",17,3309,0,170373,310,594,308,2,36,2,100,594,3309,170373,17,170967,312,136,730
9100,"(12, 3, 197, 64)",17,3319,0,170373,310,594,308,2,36,2,100,594,3319,170373,17,170967,312,136,730
9200,"(12, 3, 197, 64)",17,3339,0,170373,312,594,310,2,36,2,100,594,3339,170373,17,170967,314,136,730
9300,"(12, 3, 197, 64)",17,3460,0,170373,314,594,312,2,36,2,100,594,3460,170373,17,170967,316,136,730
9400,"(12, 3, 197, 64)",17,3481,0,170373,314,594,312,2,36,2,100,594,3481,170373,17,170967,316,136,730
9500,"(12, 3, 197, 64)",15,3156,0,170373,316,594,314,2,36,2,100,594,3156,170373,15,170967,318,136,730
9600,"(12, 3, 197, 64)",15,3162,0,170373,316,594,314,2,36,2,100,594,3162,170373,15,170967,318,136,730
9700,"(12, 3, 197, 64)",15,3179,0,170373,318,594,316,2,36,2,100,594,3179,170373,15,170967,320,136,730
9800,"(12, 3, 197, 64)",15,3185,0,170373,320,594,318,2,36,2,100,594,3185,170373,15,170967,322,136,730
9900,"(12, 3, 197, 64)",15,3202,0,170373,320,594,318,2,36,2,100,594,3202,170373,15,170967,322,136,730
