Mode: Bandwidth,Shape,Preload Clear | cycles,Embedding dataloader | cycles,Embedding decoder | cycles,Embedding calculation | cycles,Dense SpMM dataloader | cycles,Dense SpMM decoder | cycles,Input | cycles,Weight | cycles,Dense SDMM PE calculation | cycles,Dense SpMM PE calculation | cycles,Total linear preprocessing cycles,Total linear preloading cycles,Total linear computation cycles,Total linear clear cycles,Total linear cycles,Total preloading cycles,Total Computation cycles,Total cycles
496712967782,"(12, 3, 197, 64)",200,4455,0,170373,584,594,581,3,360,2,238,594,4455,170373,200,170967,586,598,1192
503155418726,"(12, 3, 197, 64)",200,4317,0,170373,584,594,581,3,360,2,238,594,4317,170373,200,170967,586,598,1192
509597869670,"(12, 3, 197, 64)",200,4317,0,170373,584,594,581,3,360,2,238,594,4317,170373,200,170967,586,598,1192
516040320614,"(12, 3, 197, 64)",200,3954,0,170373,417,594,415,2,360,2,238,594,3954,170373,200,170967,419,598,1192
522482771558,"(12, 3, 197, 64)",200,3923,0,170373,417,594,415,2,360,2,238,594,3923,170373,200,170967,419,598,1192
528925222502,"(12, 3, 197, 64)",200,3923,0,170373,417,594,415,2,360,2,238,594,3923,170373,200,170967,419,598,1192
535367673446,"(12, 3, 197, 64)",200,3892,0,170373,386,594,384,2,360,2,238,594,3892,170373,200,170967,388,598,1192
541810124390,"(12, 3, 197, 64)",200,3892,0,170373,386,594,384,2,360,2,238,594,3892,170373,200,170967,388,598,1192
548252575334,"(12, 3, 197, 64)",200,3861,0,170373,386,594,384,2,360,2,238,594,3861,170373,200,170967,388,598,1192
554695026278,"(12, 3, 197, 64)",200,3723,0,170373,386,594,384,2,360,2,238,594,3723,170373,200,170967,388,598,1192
561137477222,"(12, 3, 197, 64)",200,3723,0,170373,386,594,384,2,360,2,238,594,3723,170373,200,170967,388,598,1192
567579928166,"(12, 3, 197, 64)",200,3723,0,170373,386,594,384,2,360,2,238,594,3723,170373,200,170967,388,598,1192
574022379110,"(12, 3, 197, 64)",200,3723,0,170373,386,594,384,2,360,2,238,594,3723,170373,200,170967,388,598,1192
580464830054,"(12, 3, 197, 64)",200,3607,0,170373,386,594,384,2,360,2,238,594,3607,170373,200,170967,388,598,1192
586907280998,"(12, 3, 197, 64)",200,3607,0,170373,386,594,384,2,360,2,238,594,3607,170373,200,170967,388,598,1192
593349731942,"(12, 3, 197, 64)",200,3607,0,170373,386,594,384,2,360,2,238,594,3607,170373,200,170967,388,598,1192
599792182886,"(12, 3, 197, 64)",200,3607,0,170373,386,594,384,2,360,2,238,594,3607,170373,200,170967,388,598,1192
606234633830,"(12, 3, 197, 64)",200,3607,0,170373,386,594,384,2,360,2,238,594,3607,170373,200,170967,388,598,1192
612677084774,"(12, 3, 197, 64)",200,3438,0,170373,386,594,384,2,360,2,238,594,3438,170373,200,170967,388,598,1192
619119535718,"(12, 3, 197, 64)",200,3438,0,170373,355,594,353,2,360,2,238,594,3438,170373,200,170967,357,598,1192
625561986662,"(12, 3, 197, 64)",200,3438,0,170373,355,594,353,2,360,2,238,594,3438,170373,200,170967,357,598,1192
632004437606,"(12, 3, 197, 64)",200,3407,0,170373,355,594,353,2,360,2,238,594,3407,170373,200,170967,357,598,1192
638446888550,"(12, 3, 197, 64)",200,3407,0,170373,355,594,353,2,360,2,238,594,3407,170373,200,170967,357,598,1192
644889339494,"(12, 3, 197, 64)",200,3407,0,170373,355,594,353,2,360,2,238,594,3407,170373,200,170967,357,598,1192
651331790438,"(12, 3, 197, 64)",200,3376,0,170373,355,594,353,2,360,2,238,594,3376,170373,200,170967,357,598,1192
657774241382,"(12, 3, 197, 64)",200,3376,0,170373,355,594,353,2,360,2,238,594,3376,170373,200,170967,357,598,1192
